table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
dataset_animali,GPT-4o-mini,0.0,0.6665,0.652,0.5,1.0,0.6,0.975
dataset_auto,GPT-4o-mini,0.0,0.8095,0.82725,0.375,1.0,0.625,0.84375
dataset_film_famosi,GPT-4o-mini,0.0,0.6677777777777778,0.6903333333333334,0.2222222222222222,1.0,0.4444444444444444,0.6111111111111112
monumenti_reali,GPT-4o-mini,0.0,0.6885714285714286,0.7101428571428572,0.2857142857142857,1.0,0.4571428571428572,0.5285714285714286
