table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
BMI,gpt-4o_mini,0.0,0.6293076923076922,0.6635769230769231,0.3076923076923077,1.0,0.46923076923076923,0.7634615384615385
energy_consumption,gpt-4o_mini,0.0,0.9143928571428572,0.9496428571428571,0.5,1.0,0.5357142857142857,0.7857142857142857
financial,gpt-4o_mini,0.0,0.6773928571428571,0.6761428571428573,0.17857142857142858,1.0,0.6714285714285715,0.7946428571428571
logistics_delivery,gpt-4o_mini,0.0,0.7189642857142857,0.7213928571428571,0.4642857142857143,1.0,0.6785714285714286,0.8803571428571428
products,gpt-4o_mini,0.0,0.6186071428571429,0.6263571428571428,0.2857142857142857,1.0,0.5428571428571428,0.7767857142857143
student_performance,gpt-4o_mini,0.0,0.80375,0.8338214285714286,0.42857142857142855,1.0,0.43571428571428567,0.7321428571428571
