table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
BMI,gpt-5_mini,0.0,0.4525,0.4135,0.25,1.0,0.25,0.625
energy_consumption,gpt-5_mini,0.0,0.94275,0.94275,0.5,1.0,0.7,0.875
financial,gpt-5_mini,0.0,0.0,0.0,0.0,1.0,0.0,0.5
logistics_delivery,gpt-5_mini,0.0,0.9682857142857143,0.9682857142857143,0.7142857142857143,1.0,0.8285714285714285,0.9285714285714286
products,gpt-5_mini,0.0,0.0,0.0,0.0,1.0,0.0,0.5
student_performance,gpt-5_mini,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.9285714285714286
