table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
accounts_receivable,GPT-4o-mini,0.0,0.4545,0.4395357142857143,0.17857142857142858,0.8928571428571429,0.3964285714285714,0.5446428571428571
breast_cancer,GPT-4o-mini,0.0,0.7462500000000001,0.7544000000000001,0.25,1.0,0.62,0.8800000000000001
fitness_trakers,GPT-4o-mini,0.0,0.402,0.6221875,0.0,0.8875,0.075,0.609375
heart_attack,GPT-4o-mini,0.0,0.7003928571428572,0.6544642857142857,0.32142857142857145,0.8928571428571429,0.5285714285714286,0.7517857142857143
mobiles,GPT-4o-mini,0.0,0.29524999999999996,0.32142857142857145,0.21428571428571427,0.39285714285714285,0.26785714285714285,0.35714285714285715
olympic_games,GPT-4o-mini,0.0,0.8632500000000001,0.91325,0.25,1.0,0.8375,0.75
