table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
accounts_receivable,Gemini-2.5-Flash,0.0,0.5375357142857143,0.5430714285714285,0.21428571428571427,1.0,0.4892857142857143,0.8767857142857143
breast_cancer,Gemini-2.5-Flash,0.0,0.9281428571428572,0.9319285714285714,0.75,1.0,0.8214285714285714,0.9821428571428571
fitness_trakers,Gemini-2.5-Flash,0.0,0.6806785714285715,0.7015,0.17857142857142858,1.0,0.2357142857142857,0.625
heart_attack,Gemini-2.5-Flash,0.0,0.9265357142857144,0.9264642857142856,0.8214285714285714,1.0,0.85,0.9642857142857143
mobiles,Gemini-2.5-Flash,0.0,0.7933928571428571,0.7597142857142857,0.6071428571428571,1.0,0.7214285714285714,0.8642857142857142
olympic_games,Gemini-2.5-Flash,0.0,1.0,1.0,1.0,1.0,1.0,1.0
