table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
dataset_animali,gpt-5_mini,0.0,0.5665,0.552,0.0,1.0,0.5,0.7
dataset_auto,gpt-5_mini,0.0,0.92975,0.94225,0.75,1.0,0.775,0.75
dataset_film_famosi,gpt-5_mini,0.0,0.6484444444444445,0.6625555555555556,0.3333333333333333,1.0,0.48888888888888893,0.6666666666666666
monumenti_reali,gpt-5_mini,0.0,0.7144285714285715,0.7657142857142858,0.14285714285714285,1.0,0.4571428571428572,0.7000000000000001
