table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
dataset_animali,GPT-4o-mini,0.0,0.7463030303030304,0.6243939393939394,0.2727272727272727,1.0,0.44445454545454544,0.8287878787878789
dataset_auto,GPT-4o-mini,0.0,0.7524285714285714,0.7461428571428571,0.42857142857142855,1.0,0.6333214285714286,0.8678571428571429
dataset_film_famosi,GPT-4o-mini,0.0,0.8294,0.84236,0.56,1.0,0.72,0.9079999999999999
monumenti_reali,GPT-4o-mini,0.0,0.7654285714285713,0.7672857142857143,0.5357142857142857,1.0,0.75,0.8964285714285715
