table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
dataset_animali,gpt-5_mini,0.0,0.6665,0.652,0.5,1.0,0.6,0.975
dataset_auto,gpt-5_mini,0.0,0.887,0.894,0.625,1.0,0.725,1.0
dataset_film_famosi,gpt-5_mini,0.0,0.6075555555555555,0.6097777777777778,0.2222222222222222,1.0,0.4222222222222222,0.6944444444444444
monumenti_reali,gpt-5_mini,0.0,0.6945714285714286,0.6941428571428572,0.42857142857142855,1.0,0.6571428571428571,0.9642857142857143
