table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
BMI,Gemini-2.5-Flash,0.0,0.44392000000000004,0.44780000000000003,0.0,1.0,0.032,0.58
energy_consumption,Gemini-2.5-Flash,0.0,0.7661785714285714,0.7648928571428572,0.35714285714285715,1.0,0.45,0.7321428571428571
financial,Gemini-2.5-Flash,0.0,0.6902499999999999,0.6884642857142858,0.5,1.0,0.5428571428571428,0.7857142857142857
logistics_delivery,Gemini-2.5-Flash,0.0,0.6162857142857143,0.6168214285714286,0.25,0.9642857142857143,0.31903571428571426,0.7142857142857143
products,Gemini-2.5-Flash,0.0,0.6695714285714286,0.67125,0.2857142857142857,1.0,0.4928571428571429,0.8392857142857143
student_performance,Gemini-2.5-Flash,0.0,0.7511785714285715,0.7480357142857142,0.5357142857142857,1.0,0.5714285714285714,0.7982142857142858
