table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
BMI,gpt-5_mini,0.0,0.32566666666666666,0.32566666666666666,0.0,1.0,0.26666666666666666,0.8333333333333334
energy_consumption,gpt-5_mini,0.0,0.496375,0.496375,0.25,1.0,0.375,0.75
financial,gpt-5_mini,0.0,0.0,0.0,0.0,1.0,0.0,0.5
logistics_delivery,gpt-5_mini,0.0,0.64,0.64,0.6,1.0,0.64,0.9
student_performance,gpt-5_mini,0.0,0.39999999999999997,0.4083333333333334,0.3333333333333333,1.0,0.3666666666666667,0.8333333333333334
