table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
accounts_receivable,gpt-5_mini,0.0,0.34917857142857145,0.34253571428571433,0.03571428571428571,1.0,0.23214285714285715,0.75
breast_cancer,gpt-5_mini,0.0,0.7640357142857143,0.7721785714285714,0.35714285714285715,1.0,0.5,0.7857142857142857
fitness_trakers,gpt-5_mini,0.0,0.544,0.621074074074074,0.14814814814814814,1.0,0.2074074074074074,0.6148148148148148
heart_attack,gpt-5_mini,0.0,0.75725,0.7143214285714287,0.2857142857142857,0.9785714285714285,0.37857142857142856,0.75
mobiles,gpt-5_mini,0.0,0.6398928571428572,0.6115,0.25,1.0,0.3178571428571429,0.6642857142857144
olympic_games,gpt-5_mini,0.0,0.2855,0.276,0.0,1.0,0.0,0.5
