table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
dataset_animali,gpt-5_mini,0.0,0.8232142857142858,0.7060357142857142,0.39285714285714285,1.0,0.48332142857142857,0.7625000000000001
dataset_auto,gpt-5_mini,0.0,0.7056428571428571,0.6799642857142858,0.42857142857142855,1.0,0.5309642857142858,0.7892857142857144
dataset_film_famosi,gpt-5_mini,0.0,0.7760714285714286,0.7897142857142857,0.4642857142857143,1.0,0.6964285714285714,0.8303571428571429
monumenti_reali,gpt-5_mini,0.0,0.7915714285714286,0.8041428571428572,0.39285714285714285,1.0,0.6714285714285715,0.8839285714285714
