table,model,avg_valid_efficiency_score,avg_cell_precision,avg_cell_recall,avg_execution_accuracy,avg_tuple_cardinality,avg_tuple_constraint,avg_tuple_order
dataset_animali,Gemini-2.5-Flash,0.0,0.9648214285714286,0.9689642857142857,0.7857142857142857,0.9928571428571429,0.8190357142857143,0.9107142857142857
dataset_auto,Gemini-2.5-Flash,0.0,0.8015714285714285,0.8265357142857143,0.5357142857142857,1.0,0.6881071428571428,0.9071428571428571
dataset_film_famosi,Gemini-2.5-Flash,0.0,0.8282857142857143,0.829,0.6071428571428571,0.9214285714285715,0.7857142857142857,0.8375
monumenti_reali,Gemini-2.5-Flash,0.0,0.8973928571428571,0.8431071428571428,0.75,1.0,0.7928571428571428,0.9
